商场,Cc,1155
摄影冲印店,Cd,1938
汽车养护/装饰,Ce,1077
外国餐厅,Cf,2115
洗衣店,Cg,2710
体育用品店,Ch,1481
咖啡厅,Ci,1632
公用电话,Cj,6538
报刊亭,Ck,1879
交通地名,Aa,15878
行政地名,Ab,6979
公共厕所,Ac,7824
中餐厅,Ad,31991
政府机关,Ae,6103
学校,Af,6612
停车场,Ag,15636
加油站,Ah,1488
便民商店/便利店,Ai,9849
售票处,Aj,1249
公司,Ak,17635
风景名胜,Al,1321
宾馆酒店,Am,5207
超级市场,An,4805
银行,Ao,3906
综合医院,Ap,1889
公园广场,Aq,1167
综合市场,Ar,3212
专卖店,As,14012
家居建材市场,At,9698
楼宇,Au,5284
公检法机构,Av,2062
旅馆招待所,Aw,1564
住宅区,Ax,20463
传媒机构,Ay,1129
自动提款机,Az,4153
医药保健销售店,Ba,4995
彩票彩券销售点,Bb,1502
家电电子卖场,Bc,3705
娱乐场所,Bd,4684
工厂,Be,2886
餐饮相关场所,Bf,2924
购物相关场所,Bg,1943
糕饼店,Bh,2039
生活服务场所,Bi,7034
美容美发店,Bj,9317
社会团体,Bk,2050
中介机构,Bl,5018
洗浴推拿场所,Bm,2996
诊所,Bn,1637
科教文化场所,Bo,929
物流速递,Bp,1896
培训机构,Bq,2472
服装鞋帽皮具店,Br,5701
运动场馆,Bs,2870
旅行社,Bt,1146
科研机构,Bu,1654
维修站点,Bv,1315
汽车综合维修,Bw,1170
汽车维修,Bx,2269
事务所,By,1228
汽车配件销售,Bz,1762
快餐厅,Ca,3823
茶艺馆,Cb,1289
